"Cocos, castanhas e nozes",Castanha portuguesa,131,2,1.38,27.76,4.14
"Cocos, castanhas e nozes",Pinhão,174.37,2.98,0.75,43.92,15.6
"Cocos, castanhas e nozes",Amêndoa,578,21.26,50.64,19.74,11.8
"Cocos, castanhas e nozes",Avelã,628,14.95,60.75,16.7,9.7
"Cocos, castanhas e nozes",Castanha-do-pará,656,14.32,66.43,12.27,7.5
"Cocos, castanhas e nozes",Castanha de caju,574,15.31,46.35,32.69,3
"Cocos, castanhas e nozes",Butiá,105,1.9,2,22.8,7.4
"Cocos, castanhas e nozes",Tucumã,474,5.5,47.2,6.8,19.2
"Cocos, castanhas e nozes",Coco de mucajá,404.28,02.08,40.66,13.95,13.44
"Cocos, castanhas e nozes",Noz (nogueira),654,15.23,65.21,13.71,6.7
"Cocos, castanhas e nozes",Açaí,262,3.6,2,57.4,5.92
"Cocos, castanhas e nozes",Juçara,262,3.6,2,57.4,5.92
"Cocos, castanhas e nozes",Uaçaí,262,3.6,2,57.4,5.92
"Cocos, castanhas e nozes",Jussara,262,3.6,2,57.4,5.92
"Cocos, castanhas e nozes",Pupunha,28,2.52,0.62,4.62,2.4
"Cocos, castanhas e nozes",Bacaba,212,3.12,19.8,6.6,
"Cocos, castanhas e nozes",Bacabuçu,212,3.12,19.8,6.6,
"Cocos, castanhas e nozes",Castanha-da-índia,656,14.32,66.43,12.27,7.5
"Cocos, castanhas e nozes",Pistache,557,20.61,44.44,27.97,10.3
"Cocos, castanhas e nozes",Buriti,145,1.8,8.1,10.2,9.6
"Cocos, castanhas e nozes",Coco,354,3.33,33.49,15.23,9
"Cocos, castanhas e nozes",Patauá,105,1.9,2,22.8,7.4
"Hortaliças folhosas, frutosas e outras",Alface,15,1.36,0.15,2.79,1.3
"Hortaliças folhosas, frutosas e outras",Bertalha - Refogado(a),45.3,2.97,2.78,3.75,2.4
"Hortaliças folhosas, frutosas e outras",Chicória - Cru(a),17,1.25,0.2,3.35,3.1
"Hortaliças folhosas, frutosas e outras",Chicória - Cozido(a),58.88,1.9,3.89,5.63,2
"Hortaliças folhosas, frutosas e outras",Chicória - Refogado(a),58.88,1.9,3.89,5.63,2
"Hortaliças folhosas, frutosas e outras",Chicória - Ao vinagrete,58.88,1.9,3.89,5.63,2
"Hortaliças folhosas, frutosas e outras",Escarola,52.88,1.61,3.75,4.31,3.99
"Hortaliças folhosas, frutosas e outras",Couve - Cru(a),30,2.45,0.42,5.69,3.6
"Hortaliças folhosas, frutosas e outras",Couve - Cozido(a),26,2.11,0.36,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Frito(a),47.13,2.11,2.75,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Refogado(a),47.13,2.11,2.75,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Molho vermelho,25.6,1.95,0.32,5,2.54
"Hortaliças folhosas, frutosas e outras",Couve - Ao alho e óleo,47.13,2.11,2.75,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Com manteiga/óleo,43.85,2.13,2.38,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Ao vinagrete,26,2.11,0.36,4.91,2.8
"Hortaliças folhosas, frutosas e outras",Couve - Ensopado,47.13,2.11,2.75,4.91,2.8
